"index","State","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present"
431,"LA",2088,"2/20/12","Loss","Other Portable Electronic Device","No"
432,"OR",2300,"2/20/12","Theft, Unauthorized Access/Disclosure","Laptop","Yes"
433,"PA",728,"2/27/12","Theft","Laptop","No"
434,"NM",7000,"2/28/12","Theft","Laptop","Yes"
435,"MD",632,"2/28/12","Unauthorized Access/Disclosure","Other","Yes"
436,"PR",7706,"2/28/12","Theft","Laptop","Yes"
437,"MD",10480,"2/29/12","Theft","Network Server","No"
438,"TX",2559,"3/2/12","Theft","Other","Yes"
439,"AK",2743,"3/3/12","Unauthorized Access/Disclosure","Desktop Computer","No"
440,"KY",1182,"3/6/12","Other","Paper/Films","No"
441,"IN",20000,"3/9/12","Theft","Laptop","No"
442,"PR",10000,"3/12/12","Theft","Laptop, Other Portable Electronic Device","Yes"
443,"PR",4645,"3/12/12","Theft","Laptop","Yes"
444,"PR",27098,"3/12/12","Theft","Laptop","Yes"
445,"CA",1431,"3/12/12","Theft","Paper/Films","No"
446,"NY",577,"3/13/12","Theft","Laptop","No"
447,"PR",7923,"3/13/12","Theft","Laptop","Yes"
448,"CA",875,"3/14/12","Theft","Paper/Films","No"
449,"PR",7606,"3/15/12","Theft","Laptop, Other Portable Electronic Device","Yes"
450,"GA",513,"3/15/12","Theft","Laptop","No"
451,"TX",1972,"3/16/12","Theft","Other Portable Electronic Device","No"
452,"IL",750,"3/23/12","Unauthorized Access/Disclosure","Network Server","No"
453,"IL",3482,"3/23/12","Other","Paper/Films","Yes"
454,"NC",1370,"3/23/12","Unauthorized Access/Disclosure","Other","No"
455,"CA",712,"3/29/12","Theft","Paper/Films","No"
456,"NY",642,"4/3/12","Unauthorized Access/Disclosure","Email","No"
457,"TX",502,"4/4/12","Theft","Paper/Films","No"
458,"MI",1229,"4/6/12","Unauthorized Access/Disclosure","Email","No"
459,"MA",6831,"4/6/12","Loss","Paper/Films","No"
460,"AZ",9565,"4/9/12","Loss","Other Portable Electronic Device","No"
461,"CA",1000,"4/10/12","Unauthorized Access/Disclosure","Email","No"
462,"MI",555,"4/10/12","Unauthorized Access/Disclosure","Paper/Films","Yes"
463,"CA",2000,"4/10/12","Theft","Other","Yes"
464,"UT",780000,"4/11/12","Hacking/IT Incident","Network Server","Yes"
465,"IN",1000,"4/12/12","Improper Disposal","Paper/Films","No"
466,"NY",6745,"4/12/12","Theft","Desktop Computer, Network Server","No"
467,"FL",9497,"4/13/12","Other","Other","No"
468,"WA",2100,"4/13/12","Theft","Desktop Computer, Electronic Medical Record","No"
469,"TX",1000,"4/16/12","Improper Disposal","Paper/Films","No"
470,"GA",315000,"4/18/12","Other, Unknown","Other","No"
471,"CA",4400,"4/20/12","Theft","Desktop Computer","No"
472,"AR",7121,"4/20/12","Unauthorized Access/Disclosure","Other","No"
473,"FL",750,"4/23/12","Theft","Paper/Films","No"
474,"SC",228435,"4/24/12","Unauthorized Access/Disclosure","Email","No"
475,"OR",550,"4/26/12","Theft","Paper/Films","No"
476,"CA",961,"4/26/12","Theft","Network Server","No"
477,"AZ",42000,"5/1/12","Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server","No"
478,"TX",750,"5/3/12","Theft","Paper/Films","No"
479,"MI",3000,"5/3/12","Hacking/IT Incident","Network Server","No"
480,"WA",1597,"5/4/12","Theft","Network Server","No"
481,"TX",7000,"5/8/12","Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server","No"
482,"WV",2905,"5/10/12","Theft","Paper/Films","No"
483,"IA",3000,"5/11/12","Improper Disposal","Paper/Films","No"
484,"MO",1134,"5/11/12","Unauthorized Access/Disclosure","Email","No"
485,"MN",4000,"5/14/12","Theft","Laptop","No"
486,"CA",3900,"5/14/12","Loss","Other Portable Electronic Device","No"
487,"LA",17000,"5/18/12","Loss, Theft","Laptop","No"
488,"MN",19100,"5/18/12","Unauthorized Access/Disclosure","Other","No"
489,"CA",1900,"5/18/12","Theft","Other","No"
490,"NC",591,"5/18/12","Unauthorized Access/Disclosure","Other","No"
491,"FL",1137,"5/19/12","Loss, Theft","Laptop","No"
492,"NE",3000,"5/21/12","Theft","Laptop","No"
493,"MA",2159,"5/22/12","Theft","Laptop","No"
494,"OH",15000,"5/22/12","Unauthorized Access/Disclosure","Other","Yes"
495,"CA",745,"5/23/12","Theft","Paper/Films","No"
496,"GA",12937,"5/24/12","Theft","Electronic Medical Record, Paper/Films","No"
497,"CT",925,"5/25/12","Theft","Desktop Computer","No"
498,"TX",500,"5/26/12","Theft","Other","No"
499,"WA",756,"5/29/12","Theft","Desktop Computer, Other Portable Electronic Device","No"
500,"TN",1102,"5/31/12","Loss","Paper/Films","No"
501,"GA",824,"6/4/12","Loss","Other Portable Electronic Device","No"
502,"MD",1444,"6/4/12","Theft","Laptop","Yes"
503,"FL",2557,"6/4/12","Theft","Other Portable Electronic Device","No"
504,"OR",11136,"6/6/12","Theft","Desktop Computer","No"
505,"NY",568,"6/8/12","Theft","Email, Other","No"
506,"FL",1409,"6/14/12","Theft","Paper/Films","No"
507,"KY",4490,"6/19/12","Theft","Laptop","No"
508,"KY",824,"6/22/12","Theft","Laptop","No"
509,"MT",708,"6/22/12","Theft","Laptop, Other Portable Electronic Device","No"
510,"NC",9953,"6/25/12","Unauthorized Access/Disclosure","Desktop Computer","No"
511,"TX",585,"7/3/12","Theft","Laptop","No"
512,"IL",1500,"7/12/12","Theft","Paper/Films","No"
513,"MN",2533,"7/13/12","Loss, Unauthorized Access/Disclosure, Unknown","Other Portable Electronic Device","Yes"
514,"IA",1298,"7/16/12","Theft","Paper/Films","No"
515,"OR",4354,"7/16/12","Hacking/IT Incident, Other, Unauthorized Access/Disclosure","Network Server","No"
516,"NC",2917,"7/17/12","Loss","Other Portable Electronic Device","No"
517,"MA",3900,"7/20/12","Theft","Laptop","No"
518,"NY",8488,"7/23/12","Theft","Desktop Computer","No"
519,"IL",7067,"7/25/12","Other","Network Server","No"
520,"IN",1504,"7/25/12","Theft","Other","No"
521,"AZ",4800,"7/27/12","Theft","Network Server","No"
522,"IL",4211,"7/27/12","Theft","Laptop, Other Portable Electronic Device","No"
523,"IL",1240,"7/30/12","Theft","Paper/Films","No"
524,"CT",7461,"7/30/12","Theft","Laptop","Yes"
525,"OR",702,"7/31/12","Theft","Other","No"
526,"CA",2300,"8/3/12","Theft","Desktop Computer","No"
527,"TX",2875,"8/3/12","Theft","Electronic Medical Record, Paper/Films","No"
528,"PA",66601,"8/10/12","Theft","Laptop","Yes"
529,"CA",603,"8/15/12","Theft","Desktop Computer","No"
530,"FL",1175,"8/15/12","Theft","Other Portable Electronic Device","No"
532,"FL",105646,"8/16/12","Theft","Electronic Medical Record","No"
533,"PA",3183,"8/17/12","Theft","Laptop","No"
534,"TX",2264,"8/17/12","Loss","Other Portable Electronic Device","No"
535,"IL",754,"8/21/12","Other, Unauthorized Access/Disclosure","Paper/Films","No"
536,"FL",500,"8/28/12","Theft","Laptop","No"
537,"GA",4000,"8/31/12","Theft","Laptop","No"
538,"NV",800,"9/5/12","Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server","No"
539,"WA",942,"9/7/12","Theft","Laptop","No"
540,"FL",64846,"9/7/12","Other, Unauthorized Access/Disclosure","Paper/Films","No"
541,"NM",2365,"9/12/12","Hacking/IT Incident","Network Server","No"
542,"VA",4873,"9/13/12","Theft","Other Portable Electronic Device","No"
543,"NV",5713,"9/14/12","Loss","Other Portable Electronic Device","Yes"
544,"CT",5827,"9/14/12","Theft","Laptop, Other Portable Electronic Device","No"
545,"CA",3031,"9/17/12","Theft","Desktop Computer","No"
546,"KY",2500,"9/19/12","Unauthorized Access/Disclosure","Email","No"
547,"GA",13074,"10/8/12","Improper Disposal","Paper/Films","Yes"
548,"CA",65700,"10/10/12","Theft","Laptop","No"
549,"KY",2376,"10/12/12","Theft","Other Portable Electronic Device","No"
550,"TN",27799,"10/17/12","Theft","Laptop","No"
551,"CA",116506,"10/18/12","Theft","Laptop","No"
552,"GA",3440,"10/18/12","Theft","Other","No"
553,"CA",980,"10/22/12","Theft","Desktop Computer","No"
554,"CA",18000,"10/22/12","Other","Paper/Films","No"
555,"NJ",638,"10/23/12","Theft","Paper/Films","No"
556,"IN",2900,"10/23/12","Hacking/IT Incident","Network Server","No"
558,"IL",1500,"10/26/12","Theft","Paper/Films","No"
559,"RI",955,"10/26/12","Theft","Paper/Films","No"
560,"OH",500,"10/29/12","Improper Disposal","Paper/Films","No"
562,"NY",1017,"11/1/12","Theft","Network Server","Yes"
563,"IL",508,"11/2/12","Theft","Paper/Films","Yes"
564,"MI",2777,"11/5/12","Loss","Other, Other Portable Electronic Device","No"
567,"FL",2560,"11/5/12","Theft","Electronic Medical Record","No"
568,"LA",10271,"11/5/12","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No"
569,"RI",14004,"11/5/12","Loss","Other","No"
570,"CO",6262,"11/7/12","Loss","Paper/Films","No"
571,"IL",3897,"11/8/12","Loss","Other Portable Electronic Device","No"
572,"TX",5748,"11/16/12","Loss","Other Portable Electronic Device","No"
573,"CA",18000,"11/17/12","Other","Other","No"
574,"HI",674,"11/20/12","Hacking/IT Incident","Desktop Computer","No"
576,"CT",14511,"11/21/12","Theft","Other Portable Electronic Device","No"
577,"NM",540,"11/21/12","Theft","Laptop","No"
578,"MA",615,"11/26/12","Theft","Desktop Computer","No"
579,"IN",2575,"11/26/12","Other","Other","Yes"
580,"GA",1306,"11/27/12","Theft","Paper/Films","No"
581,"CT",1749,"11/28/12","Theft","Desktop Computer","No"
582,"FL",10000,"11/29/12","Theft","Desktop Computer","No"
583,"OH",613,"11/29/12","Theft","Laptop","No"
584,"IL",500,"11/29/12","Unauthorized Access/Disclosure","Network Server","Yes"
585,"NC",1100,"11/29/12","Improper Disposal","Paper/Films","No"
586,"CA",1370,"11/29/12","Unauthorized Access/Disclosure","Paper/Films","No"
587,"CA",1500,"11/29/12","Theft, Unauthorized Access/Disclosure","Desktop Computer","Yes"
588,"RI",683,"11/30/12","Theft","Laptop","No"
589,"VA",1846,"11/30/12","Loss","Other Portable Electronic Device","No"
590,"NC",5600,"12/7/12","Hacking/IT Incident","Email","No"
591,"FL",4907,"12/7/12","Theft","Paper/Films","No"
592,"TX",6601,"12/10/12","Unauthorized Access/Disclosure","Network Server, Other","No"
593,"NY",4929,"12/14/12","Theft","Desktop Computer","No"
594,"AR",2863,"12/20/12","Other","Paper/Films","No"
595,"OH",850,"12/20/12","Theft","Laptop, Network Server","No"
596,"NY",28187,"12/21/12","Unauthorized Access/Disclosure","Other","Yes"
597,"AZ",35488,"12/21/12","Theft","Paper/Films","No"
598,"CA",2643,"12/23/12","Unauthorized Access/Disclosure","Other","No"
599,"MI",4100,"12/23/12","Other","Laptop","No"
600,"IN",28893,"12/26/12","Theft","Laptop","No"
601,"NJ",27800,"12/27/12","Hacking/IT Incident, Theft","Network Server","No"
602,"KY",1090,"12/28/12","Theft","Laptop","Yes"
603,"MA",4343,"12/28/12","Hacking/IT Incident","Network Server","Yes"
604,"CA",56820,"12/31/12","Theft","Laptop","Yes"
605,"TX",2988,"12/31/12","Hacking/IT Incident","Desktop Computer","No"
606,"NY",1771,"1/2/13","Theft","Paper/Films","No"
607,"CA",532,"1/4/13","Theft","Desktop Computer","No"
608,"MA",4125,"1/7/13","Hacking/IT Incident","Network Server","Yes"
609,"NV",1483,"1/8/13","Improper Disposal","Paper/Films","No"
610,"OH",635,"1/8/13","Unauthorized Access/Disclosure","Paper/Films","Yes"
611,"AZ",852,"1/8/13","Unauthorized Access/Disclosure","Paper/Films","No"
612,"MA",7250,"1/10/13","Hacking/IT Incident","Network Server","Yes"
613,"LA",1400,"1/10/13","Theft","Laptop","No"
614,"MA",4100,"1/10/13","Hacking/IT Incident","Network Server","Yes"
615,"NY",19178,"1/11/13","Theft","Laptop","No"
616,"MO",1105,"1/11/13","Theft","Laptop","No"
617,"MD",3230,"1/17/13","Theft","Laptop","No"
618,"PA",1184,"1/18/13","Loss","Other","No"
619,"TX",678,"1/22/13","Unauthorized Access/Disclosure","Electronic Medical Record","No"
620,"NY",725,"1/22/13","Theft","Paper/Films","Yes"
622,"TX",29021,"1/24/13","Theft","Laptop","No"
623,"IL",8911,"1/30/13","Theft","Desktop Computer","Yes"
624,"LA",16988,"1/31/13","Improper Disposal","Paper/Films","Yes"
625,"AL",2400,"2/2/13","Theft","Desktop Computer","No"
626,"GA",1103,"2/4/13","Theft","Laptop","Yes"
627,"NC",1000,"2/6/13","Theft","Desktop Computer","Yes"
628,"FL",1200,"2/7/13","Theft","Laptop","Yes"
629,"FL",1200,"2/7/13","Theft","Laptop","No"
630,"GA",500,"2/11/13","Loss","Laptop","No"
631,"MD",5822,"2/12/13","Theft","Laptop","No"
632,"CA",1368,"2/12/13","Other, Theft","Paper/Films","Yes"
633,"WI",43549,"2/12/13","Unauthorized Access/Disclosure","Other","No"
634,"FL",566,"2/13/13","Other","Paper/Films","No"
635,"MO",4027,"2/14/13","Theft","Laptop","No"
636,"GA",1819,"2/15/13","Theft","Laptop","No"
637,"NM",778,"2/17/13","Theft","Laptop","No"
638,"GA",18000,"2/18/13","Unauthorized Access/Disclosure","Network Server","No"
639,"FL",3667,"2/19/13","Unauthorized Access/Disclosure","Paper/Films","Yes"
640,"SD",8500,"2/21/13","Theft","Desktop Computer","No"
641,"AZ",501,"2/21/13","Theft","Laptop","No"
642,"CA",109000,"2/22/13","Theft","Desktop Computer","No"
643,"CA",686,"2/25/13","Theft","Paper/Films","No"
644,"GA",3000,"2/27/13","Theft","Laptop","No"
645,"OH",2261,"3/1/13","Theft","Paper/Films","Yes"
646,"NY",28187,"3/1/13","Theft","Other Portable Electronic Device","Yes"
647,"IL",500,"3/1/13","Unauthorized Access/Disclosure","Other","Yes"
648,"FL",834,"3/2/13","Unauthorized Access/Disclosure","Electronic Medical Record","No"
649,"PA",527,"3/4/13","Theft","Paper/Films","No"
650,"ME",1920,"3/4/13","Other","Email","No"
651,"CA",18162,"3/4/13","Theft","Laptop","Yes"
652,"MA",6332,"3/6/13","Loss","Other Portable Electronic Device","Yes"
653,"OH",1200,"3/6/13","Theft","Desktop Computer","No"
654,"CT",1382,"3/8/13","Unauthorized Access/Disclosure","Network Server","No"
655,"FL",12299,"3/9/13","Theft","Laptop","No"
656,"MN",6400,"3/12/13","Hacking/IT Incident","Network Server","Yes"
657,"IN",1678,"3/14/13","Theft, Unauthorized Access/Disclosure","Network Server","Yes"
658,"FL",628,"3/15/13","Theft","Desktop Computer, Paper/Films","No"
659,"OR",3269,"3/15/13","Theft","Desktop Computer, Electronic Medical Record","No"
661,"MA",8727,"3/20/13","Hacking/IT Incident","Network Server","No"
662,"UT",2600,"3/22/13","Loss, Other, Theft","Paper/Films","No"
663,"TX",697,"3/22/13","Unauthorized Access/Disclosure","Paper/Films","No"
664,"RI",2082,"3/29/13","Other, Unknown","Paper/Films","No"
665,"WA",629,"3/29/13","Theft","Laptop","Yes"
666,"CA",2400,"3/29/13","Unauthorized Access/Disclosure","Paper/Films","Yes"
667,"FL",1025,"4/2/13","Theft","Electronic Medical Record","No"
668,"FL",14519,"4/3/13","Other, Theft, Unauthorized Access/Disclosure","Network Server","No"
669,"IL",12542,"4/3/13","Theft","Electronic Medical Record","No"
670,"VA",2360,"4/4/13","Theft","Network Server","Yes"
671,"NC",5370,"4/4/13","Theft, Unauthorized Access/Disclosure","Laptop, Paper/Films","No"
672,"TX",554,"4/5/13","Theft","Paper/Films","No"
673,"PA",3794,"4/5/13","Unauthorized Access/Disclosure","Paper/Films","Yes"
674,"SC",7405,"4/10/13","Theft","Laptop","No"
675,"MO",589,"4/11/13","Theft","Paper/Films","No"
676,"OR",1076,"4/11/13","Theft","Laptop","No"
677,"IN",3131,"4/12/13","Unauthorized Access/Disclosure","Other","No"
678,"NY",1416,"4/17/13","Theft","Desktop Computer","No"
679,"TX",818,"4/25/13","Other","Email","No"
680,"UT",857,"4/26/13","Unauthorized Access/Disclosure","Other","No"
681,"UT",700,"4/26/13","Theft","Desktop Computer","No"
682,"CA",14829,"4/29/13","Loss","Paper/Films","Yes"
683,"NC",1580,"5/1/13","Theft","Desktop Computer","No"
684,"AZ",3800,"5/1/13","Theft","Other Portable Electronic Device","No"
685,"OH",2500,"5/3/13","Theft","Other","No"
686,"NY",537,"5/6/13","Loss","Other Portable Electronic Device","No"
687,"PA",22000,"5/7/13","Theft","Other Portable Electronic Device","Yes"
688,"TX",189489,"5/7/13","Improper Disposal","Paper/Films","Yes"
689,"WA",750,"5/7/13","Improper Disposal","Paper/Films","No"
690,"TN",1180,"5/7/13","Unauthorized Access/Disclosure","Email","No"
691,"NC",9988,"5/8/13","Hacking/IT Incident","Network Server","Yes"
692,"TN",539,"5/8/13","Other","Desktop Computer","Yes"
693,"NC",1924,"5/10/13","Hacking/IT Incident","Network Server","Yes"
694,"IN",10350,"5/13/13","Theft","Laptop","No"
695,"NY",10000,"5/14/13","Unauthorized Access/Disclosure","Email","No"
696,"OH",9577,"5/20/13","Loss","Laptop","No"
697,"PA",7803,"5/20/13","Hacking/IT Incident","Network Server","No"
698,"IN",5388,"5/20/13","Improper Disposal","Other","Yes"
699,"IN",2723,"5/21/13","Hacking/IT Incident","Desktop Computer","No"
700,"AR",1900,"5/23/13","Theft, Unauthorized Access/Disclosure","Other","No"
701,"CA",3164,"5/24/13","Theft","Laptop","Yes"
702,"NY",2434,"5/24/13","Theft","Laptop","No"
703,"CA",1386,"5/24/13","Other","Other","No"
704,"VA",5764,"5/29/13","Theft","Electronic Medical Record","No"
705,"FL",5875,"5/30/13","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No"
706,"OH",1167,"6/3/13","Theft","Email","No"
707,"MA",1670,"6/5/13","Hacking/IT Incident","Desktop Computer","No"
708,"FL",877,"6/11/13","Unauthorized Access/Disclosure","Desktop Computer","No"
709,"CA",12900,"6/13/13","Theft","Laptop","No"
710,"NC",1093,"6/14/13","Theft","Paper/Films","No"
711,"OR",959,"6/14/13","Unauthorized Access/Disclosure","Paper/Films","No"
712,"MO",1127,"6/17/13","Improper Disposal","Email","No"
713,"FL",9626,"6/17/13","Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Network Server, Paper/Films","No"
714,"FL",5200,"6/24/13","Theft","Paper/Films","No"
715,"IA",7335,"6/26/13","Loss, Unknown","Other","No"
716,"NE",2125,"6/26/13","Loss","Other Portable Electronic Device","No"
717,"TX",1955,"6/28/13","Theft","Laptop","No"
718,"PR",679,"6/28/13","Theft","Laptop","Yes"
719,"IN",187533,"7/1/13","Other","Paper/Films","Yes"
720,"AZ",4305,"7/2/13","Theft","Paper/Films","Yes"
721,"CA",8331,"7/2/13","Other","Paper/Films","No"
722,"FL",900,"7/3/13","Theft","Laptop","No"
723,"OH",2203,"7/3/13","Theft","Paper/Films","No"
724,"NC",609,"7/5/13","Other","Email","No"
725,"CA",4479,"7/5/13","Unauthorized Access/Disclosure","Email","Yes"
726,"IL",3133,"7/8/13","Other","Paper/Films","Yes"
727,"CA",4718,"7/10/13","Loss","Paper/Films","Yes"
728,"TX",2462,"7/10/13","Theft","Laptop","No"
729,"MN",2764,"7/10/13","Theft","Paper/Films","No"
730,"TX",277014,"7/11/13","Improper Disposal","Other","Yes"
731,"CA",2864,"7/11/13","Unauthorized Access/Disclosure","Electronic Medical Record","No"
733,"WY",2700,"7/15/13","Unauthorized Access/Disclosure","Desktop Computer","Yes"
734,"MO",4560,"7/15/13","Unauthorized Access/Disclosure","Other","Yes"
735,"TX",21000,"7/16/13","Unauthorized Access/Disclosure","Desktop Computer","No"
736,"CA",800,"7/18/13","Hacking/IT Incident, Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server","Yes"
737,"FL",710,"7/19/13","Theft","Desktop Computer","No"
738,"NY",2700,"7/20/13","Loss","Other Portable Electronic Device","No"
739,"LA",6994,"7/22/13","Unauthorized Access/Disclosure","Desktop Computer","No"
741,"CO",532,"7/31/13","Unauthorized Access/Disclosure","Email","No"
742,"CA",1837,"8/2/13","Theft","Laptop","No"
743,"AR",1911,"8/5/13","Theft","Laptop","Yes"
744,"TX",940,"8/5/13","Unauthorized Access/Disclosure","Other Portable Electronic Device","No"
745,"NV",32151,"8/8/13","Unauthorized Access/Disclosure","Network Server","Yes"
746,"OH",2045,"8/12/13","Theft","Laptop","No"
747,"IN",1396,"8/12/13","Unauthorized Access/Disclosure","Electronic Medical Record","No"
748,"IN",5497,"8/13/13","Theft","Other","Yes"
749,"MO",1357,"8/13/13","Unauthorized Access/Disclosure","Paper/Films","Yes"
750,"TN",5690,"8/15/13","Unauthorized Access/Disclosure","Laptop","No"
751,"CA",1033,"8/16/13","Other","Paper/Films","No"
752,"TX",3200,"8/19/13","Loss, Theft","Other Portable Electronic Device","No"
753,"ND",10000,"8/21/13","Improper Disposal","Desktop Computer, Other, Other Portable Electronic Device, Paper/Films","No"
754,"FL",1471,"8/22/13","Theft","Other, Paper/Films","No"
755,"IL",4029530,"8/23/13","Theft","Desktop Computer","No"
756,"CO",921,"8/27/13","Hacking/IT Incident","Desktop Computer","No"
757,"TX",596,"8/28/13","Theft","Laptop","No"
758,"TN",32000,"8/30/13","Theft","Network Server","Yes"
759,"GA",654,"8/30/13","Unauthorized Access/Disclosure","Email","No"
760,"MO",2600,"8/30/13","Theft","Laptop, Other Portable Electronic Device","No"
762,"CO",1500,"9/3/13","Theft","Laptop","No"
763,"MO",10000,"9/3/13","Theft","Desktop Computer, Network Server","No"
764,"OR",647,"9/3/13","Unauthorized Access/Disclosure","Electronic Medical Record","No"
765,"CA",2182,"9/6/13","Theft","Laptop","No"
766,"IL",1290,"9/6/13","Hacking/IT Incident","Other","Yes"
767,"PR",5000,"9/11/13","Theft","Network Server","Yes"
768,"FL",915,"9/12/13","Theft","Other Portable Electronic Device","No"
769,"TN",4268,"9/13/13","Loss","Other","No"
770,"SC",4204,"9/13/13","Improper Disposal","Other","No"
771,"IL",2029,"9/13/13","Hacking/IT Incident","Network Server","Yes"
772,"IL",998,"9/13/13","Hacking/IT Incident","Network Server","Yes"
773,"NY",8000,"9/16/13","Theft","Network Server","No"
774,"FL",915,"9/16/13","Unknown","Other","No"
775,"CA",1009,"9/20/13","Unauthorized Access/Disclosure","Electronic Medical Record","No"
776,"MO",25461,"9/20/13","Unauthorized Access/Disclosure","Paper/Films","Yes"
777,"FL",9900,"9/24/13","Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server","No"
778,"VA",10228,"9/26/13","Theft","Email","No"
779,"OH",1360,"9/27/13","Theft","Laptop","No"
780,"CA",579,"9/27/13","Theft","Laptop","No"
781,"CO",3512,"9/28/13","Theft","Laptop","Yes"
782,"OH",517,"9/30/13","Theft","Desktop Computer, Network Server","No"
783,"TN",6932,"9/30/13","Theft","Laptop","No"
784,"NJ",2500,"10/1/13","Theft","Laptop","No"
785,"IA",1825,"10/2/13","Unauthorized Access/Disclosure","Electronic Medical Record","No"
786,"GA",5232,"10/2/13","Theft","Email","Yes"
787,"CA",3553,"10/3/13","Theft","Laptop, Paper/Films","No"
788,"PA",2350,"10/3/13","Theft","Paper/Films","No"
789,"WA",1015,"10/3/13","Other","Paper/Films","No"
790,"PA",2810,"10/4/13","Theft","Laptop","No"
791,"NC",1310,"10/4/13","Hacking/IT Incident","Email","No"
792,"NY",1586,"10/4/13","Improper Disposal","Paper/Films","No"
793,"TN",4330,"10/4/13","Unauthorized Access/Disclosure","Paper/Films","Yes"
794,"MO",3100,"10/7/13","Unauthorized Access/Disclosure","Email","No"
795,"IL",7120,"10/9/13","Hacking/IT Incident","Network Server","Yes"
796,"MI",3947,"10/11/13","Hacking/IT Incident","Network Server","No"
797,"IN",566,"10/14/13","Theft","Laptop","No"
798,"CO",606,"10/14/13","Improper Disposal","Paper/Films","No"
799,"IL",1067,"10/14/13","Unauthorized Access/Disclosure","Email","No"
800,"VT",550,"10/15/13","Theft","Laptop","No"
801,"AK",1556,"10/16/13","Unauthorized Access/Disclosure","Email","No"
802,"FL",960,"10/17/13","Unauthorized Access/Disclosure","Desktop Computer","No"
803,"NY",610,"10/21/13","Loss","Other Portable Electronic Device","No"
804,"TX",949,"10/22/13","Theft","Desktop Computer","No"
805,"MI",3947,"10/23/13","Hacking/IT Incident","Network Server","No"
806,"TX",5500,"10/23/13","Theft","Laptop","No"
807,"NY",10930,"10/25/13","Unauthorized Access/Disclosure","Network Server","Yes"
808,"NY",37000,"10/25/13","Unauthorized Access/Disclosure","Network Server","Yes"
809,"CA",3833,"10/25/13","Theft","Laptop","No"
810,"CA",729000,"10/25/13","Theft","Laptop","No"
811,"TX",5840,"10/28/13","Theft","Desktop Computer","No"
812,"FL",603,"10/29/13","Improper Disposal","Paper/Films","Yes"
813,"FL",10680,"10/29/13","Unauthorized Access/Disclosure","Laptop","No"
814,"PA",2300,"10/31/13","Unauthorized Access/Disclosure","Network Server","No"
815,"IL",2237,"11/1/13","Theft","Laptop","No"
816,"SC",3500,"11/1/13","Theft","Laptop","No"
817,"TX",6284,"11/1/13","Other","Paper/Films","No"
818,"PA",1167,"11/1/13","Loss","Other Portable Electronic Device","No"
819,"CO",651,"11/2/13","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No"
820,"MN",3807,"11/4/13","Unauthorized Access/Disclosure","Electronic Medical Record","No"
821,"NJ",1100,"11/5/13","Theft","Laptop","No"
822,"CA",11500,"11/5/13","Theft","Laptop","No"
823,"NC",687,"11/7/13","Unauthorized Access/Disclosure","Paper/Films","No"
824,"NC",1315,"11/8/13","Unauthorized Access/Disclosure","Other","No"
825,"PR",13336,"11/8/13","Unauthorized Access/Disclosure","Paper/Films","Yes"
826,"NC",7300,"11/8/13","Unauthorized Access/Disclosure","Other","No"
827,"ND",2000,"11/12/13","Theft","Paper/Films","No"
828,"MD",7606,"11/12/13","Theft","Email","No"
829,"AZ",1456,"11/13/13","Theft","Other","Yes"
830,"NY",2279,"11/13/13","Loss","Other Portable Electronic Device","No"
831,"IL",3804,"11/14/13","Theft","Laptop","Yes"
832,"IL",4837,"11/14/13","Theft","Laptop","Yes"
833,"GA",1300,"11/15/13","Theft","Laptop","No"
834,"CA",1039,"11/19/13","Loss","Other Portable Electronic Device","No"
835,"CA",8294,"11/22/13","Theft","Laptop, Paper/Films","No"
836,"NJ",9825,"11/22/13","Loss","Other Portable Electronic Device","No"
837,"CA",49000,"11/22/13","Loss","Other Portable Electronic Device","No"
839,"IN",1500,"11/26/13","Theft","Desktop Computer","No"
840,"WA",950,"11/26/13","Theft","Laptop","No"
841,"PA",1279,"11/27/13","Unauthorized Access/Disclosure","Electronic Medical Record","No"
842,"IL",2080,"11/29/13","Unauthorized Access/Disclosure","Network Server","No"
843,"FL",1000,"12/4/13","Unauthorized Access/Disclosure","Paper/Films","No"
844,"OH",643,"12/6/13","Unauthorized Access/Disclosure","Paper/Films","No"
845,"IL",1573,"12/6/13","Theft","Email","Yes"
846,"IL",1891,"12/6/13","Loss, Theft","Laptop","No"
847,"GA",5000,"12/6/13","Hacking/IT Incident","Desktop Computer","No"
848,"GA",4500,"12/6/13","Theft","Laptop","No"
849,"IL",17350,"12/6/13","Other","Paper/Films","No"
850,"TX",44000,"12/6/13","Unauthorized Access/Disclosure","Other","No"
851,"FL",4400,"12/9/13","Unauthorized Access/Disclosure","Desktop Computer","No"
852,"GA",4879,"12/10/13","Loss","Laptop","No"
853,"KY",535,"12/10/13","Theft","Other Portable Electronic Device","No"
854,"CA",59000,"12/10/13","Hacking/IT Incident","Network Server","No"
855,"NY",9642,"12/12/13","Loss","Other Portable Electronic Device","Yes"
