"index","State","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present"
1403,"NY",738,"12/15/15","Unauthorized Access/Disclosure","Paper/Films","No"
1404,"IN",1708,"12/18/15","Unauthorized Access/Disclosure","Paper/Films","No"
1405,"ME",854,"12/18/15","Unauthorized Access/Disclosure","Paper/Films","No"
1406,"TX",659,"12/22/15","Theft","Laptop","No"
1407,"TX",975,"12/23/15","Unauthorized Access/Disclosure","Email","No"
1408,"MN",6195,"12/23/15","Improper Disposal","Paper/Films","No"
1409,"WI",509,"12/23/15","Theft","Laptop","No"
1410,"TX",1359,"12/24/15","Theft","Laptop","No"
1411,"CA",1300,"12/28/15","Theft","Paper/Films","No"
1412,"CA",502,"12/30/15","Unauthorized Access/Disclosure","Email","No"
1413,"NY",29156,"12/30/15","Theft","Other Portable Electronic Device","No"
1414,"OH",8830,"12/31/15","Hacking/IT Incident","Network Server","No"
1415,"FL",1457,"1/4/16","Theft","Paper/Films","No"
1416,"NY",1200,"1/6/16","Unauthorized Access/Disclosure","Paper/Films","No"
1417,"MA",1009,"1/11/16","Hacking/IT Incident","Email","No"
1418,"NJ",3000,"1/14/16","Hacking/IT Incident","Desktop Computer","No"
1419,"TX",1500,"1/14/16","Hacking/IT Incident","Electronic Medical Record","No"
1420,"CA",20764,"1/14/16","Unauthorized Access/Disclosure","Network Server","No"
1421,"GA",597,"1/15/16","Unauthorized Access/Disclosure","Paper/Films","No"
1422,"MT",28209,"1/15/16","Loss","Laptop","No"
1423,"TX",794,"1/21/16","Unauthorized Access/Disclosure","Email","No"
1424,"IL",1950,"1/25/16","Unauthorized Access/Disclosure","Paper/Films","No"
1425,"OH",113528,"1/25/16","Improper Disposal","Paper/Films","No"
1426,"IN",1854,"1/29/16","Improper Disposal","Paper/Films","No"
1427,"LA",13086,"2/2/16","Theft","Other","No"
1428,"IA",2300,"2/2/16","Loss","Other","No"
1429,"NY",976,"2/3/16","Unauthorized Access/Disclosure","Desktop Computer, Other","No"
1430,"MI",700,"2/5/16","Unauthorized Access/Disclosure","Paper/Films","No"
1431,"NE",30972,"2/8/16","Theft","Laptop","Yes"
1432,"WA",91187,"2/9/16","Unauthorized Access/Disclosure","Email","No"
1433,"SC",998,"2/12/16","Unauthorized Access/Disclosure","Paper/Films","Yes"
1434,"MI",552,"2/12/16","Unauthorized Access/Disclosure","Paper/Films","Yes"
1435,"FL",483063,"2/12/16","Loss","Paper/Films","No"
